Ticker,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
TJX,38.35,38.31,35.42,33.98,31.74,21.59,16.11,10.95,9.01,5.39,7.01,7.43,6.08,6.21,5.4
TMO,192.98,145.16,138.75,128.12,109.63,65,45.95,56.46,47.5,35.36,55.8,45.64,30.51,29.68,25.03
TPR,45.26,36.24,33.64,37.31,55.91,55.13,61.59,54.56,36.31,22.02,30.55,45,32.71,27.55,18.47
TRV,131.98,120.25,109.97,105.44,89.33,72.86,58.75,55.82,49.81,45.2,52.36,53.1,46.5,37.25,39.6
TSCO,75.68,76.79,83.75,78.07,76.8,45.92,34.69,24.6,13.34,9.18,8.55,11.55,13.17,9.26,9.84
TXN,105.57,73.49,54.34,53.48,43.1,32.31,29.57,32.73,26.01,16.04,32.35,29.1,33.54,24.18,29.31
TXT,57.3,50.3,41.5,42.17,36.29,25.48,19.01,24.01,19.04,15.37,66.81,47.18,38.74,36.16,28.6
UA,13.97,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
UHS,115.6,108.81,117.92,110.97,80.62,49.69,37.01,43.43,31.15,19.06,25.25,27.84,23.53,22,26.81
ULTA,229.63,260.92,181.81,126.84,95.91,101.53,66.37,34.32,18.85,8.3,16.55,16.55,16.55,16.55,16.55
UNP,135.78,103.14,78.97,118.61,83.56,64.23,54.39,46.85,32.7,25.07,31.06,22.95,20.02,16.86,17.27
URI,173.58,109.87,70.76,103.59,76.49,47.91,29.78,22.87,10.04,8.98,17.77,25.46,23.74,19,19.96
USB,54.03,51.84,41.48,44.83,39.89,32.97,27.57,26.94,22.88,25.25,31.18,36.2,30.39,31.05,29.15
V,114.51,80.15,75.7,66.26,55.25,38.85,25.29,17.63,22.04,13.36,13.36,13.36,13.36,13.36,13.36
VAR,110.98,78.94,69.65,77.06,68.49,64.18,60.46,61.8,41.77,32.13,46.2,42.78,44.15,37.85,30.9
VFC,74.42,53.72,60.87,73.76,62.38,37.59,33.85,21.59,18.35,14.22,16.95,20.56,13.71,13.61,10.65
WAB,82.93,85.51,70.16,87.11,73.26,44.5,34.46,26.56,20.86,19.93,16.8,14.72,13.83,10.43,8.5
WCG,202.55,136.63,76.45,80.87,70.25,49.4,52.38,30.1,37.15,13.76,41.99,69.39,41.88,32.7,32.7
WFC,61.09,56.05,52.91,54.7,45.02,35.05,28.56,31.58,27.32,30,29.1,35.8,31.53,30.96,29.09
WYNN,164.3,90.28,68.77,146.89,197.94,118.07,112.01,108.99,63.96,47.42,109.38,96.31,53.85,65.55,28.36
XRX,29.37,28.6,27.14,36.23,31.38,18.94,21.47,30.85,22.74,22.08,41.68,44.5,39.23,44.71,35.8
ZBH,124.06,104.28,101.81,112.59,92.24,67.7,53.21,54.97,60.02,41.76,66.29,78.82,69.13,79.38,70
